,Position,Track Name,Artist,Streams,URL,TrackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
169,170,Síguelo Bailando,Ozuna,4152293,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz,5Y9fnynLlIvqtM710MHzfz,0.855,0.664,9,-7.11,0,0.0607,0.165,3.97e-05,0.0937,0.626,98.015,audio_features,spotify:track:5Y9fnynLlIvqtM710MHzfz,https://api.spotify.com/v1/tracks/5Y9fnynLlIvqtM710MHzfz,https://api.spotify.com/v1/audio-analysis/5Y9fnynLlIvqtM710MHzfz,226800,4
170,171,Castle on the Hill,Ed Sheeran,4149299,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,6PCUP3dWmTjcTtXY02oFdT,0.461,0.8340000000000001,2,-4.868,1,0.0989,0.0232,1.1400000000000001e-05,0.14,0.47100000000000003,135.007,audio_features,spotify:track:6PCUP3dWmTjcTtXY02oFdT,https://api.spotify.com/v1/tracks/6PCUP3dWmTjcTtXY02oFdT,https://api.spotify.com/v1/audio-analysis/6PCUP3dWmTjcTtXY02oFdT,261154,4
171,172,3 A.M.,Jesse & Joy,4144913,https://open.spotify.com/track/0yyZN5ASdrYu0XYWFzfxUu,0yyZN5ASdrYu0XYWFzfxUu,0.7020000000000001,0.84,0,-3.5469999999999997,1,0.0879,0.0112,0.0,0.11900000000000001,0.624,101.99,audio_features,spotify:track:0yyZN5ASdrYu0XYWFzfxUu,https://api.spotify.com/v1/tracks/0yyZN5ASdrYu0XYWFzfxUu,https://api.spotify.com/v1/audio-analysis/0yyZN5ASdrYu0XYWFzfxUu,183573,4
172,173,Scared to Be Lonely,Martin Garrix,4088508,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,3ebXMykcMXOcLeJ9xZ17XH,0.584,0.54,1,-7.7860000000000005,0,0.0576,0.0895,0.0,0.261,0.195,137.972,audio_features,spotify:track:3ebXMykcMXOcLeJ9xZ17XH,https://api.spotify.com/v1/tracks/3ebXMykcMXOcLeJ9xZ17XH,https://api.spotify.com/v1/audio-analysis/3ebXMykcMXOcLeJ9xZ17XH,220883,4
173,174,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,4085417,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc,2eAZfqOm4EnOF9VvN50Tyc,0.703,0.757,1,-3.612,1,0.05,0.617,0.0,0.106,0.696,82.008,audio_features,spotify:track:2eAZfqOm4EnOF9VvN50Tyc,https://api.spotify.com/v1/tracks/2eAZfqOm4EnOF9VvN50Tyc,https://api.spotify.com/v1/audio-analysis/2eAZfqOm4EnOF9VvN50Tyc,221747,4
174,175,GUMMO,6ix9ine,4068854,https://open.spotify.com/track/2vjmyyAnDUzilFYxOlTdO1,2vjmyyAnDUzilFYxOlTdO1,0.6890000000000001,0.7609999999999999,1,-4.939,1,0.13,0.0485,0.0,0.136,0.698,78.514,audio_features,spotify:track:2vjmyyAnDUzilFYxOlTdO1,https://api.spotify.com/v1/tracks/2vjmyyAnDUzilFYxOlTdO1,https://api.spotify.com/v1/audio-analysis/2vjmyyAnDUzilFYxOlTdO1,157643,4
175,176,Your Song,Rita Ora,4064501,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5,4c2W3VKsOFoIg2SFaO6DY5,0.855,0.624,1,-4.093,1,0.0488,0.158,0.0,0.0513,0.9620000000000001,117.959,audio_features,spotify:track:4c2W3VKsOFoIg2SFaO6DY5,https://api.spotify.com/v1/tracks/4c2W3VKsOFoIg2SFaO6DY5,https://api.spotify.com/v1/audio-analysis/4c2W3VKsOFoIg2SFaO6DY5,180757,4
176,177,Slow Hands,Niall Horan,4046382,https://open.spotify.com/track/38yBBH2jacvDxrznF7h08J,38yBBH2jacvDxrznF7h08J,0.7340000000000001,0.418,0,-6.678,1,0.0425,0.0129,0.0,0.0579,0.868,85.90899999999999,audio_features,spotify:track:38yBBH2jacvDxrznF7h08J,https://api.spotify.com/v1/tracks/38yBBH2jacvDxrznF7h08J,https://api.spotify.com/v1/audio-analysis/38yBBH2jacvDxrznF7h08J,188174,4
177,178,Explícale,Yandel,4046370,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG,1LszjjoVwDDZcWUQbzeDLG,0.8079999999999999,0.69,1,-4.151,1,0.14800000000000002,0.0583,0.0,0.10300000000000001,0.64,125.086,audio_features,spotify:track:1LszjjoVwDDZcWUQbzeDLG,https://api.spotify.com/v1/tracks/1LszjjoVwDDZcWUQbzeDLG,https://api.spotify.com/v1/audio-analysis/1LszjjoVwDDZcWUQbzeDLG,223147,4
178,179,A Different Way (with Lauv),DJ Snake,4036116,https://open.spotify.com/track/0Wv5wuenRLI3BcwgT3HPIP,0Wv5wuenRLI3BcwgT3HPIP,0.7809999999999999,0.765,8,-4.092,1,0.0385,0.534,0.0,0.152,0.564,104.98700000000001,audio_features,spotify:track:0Wv5wuenRLI3BcwgT3HPIP,https://api.spotify.com/v1/tracks/0Wv5wuenRLI3BcwgT3HPIP,https://api.spotify.com/v1/audio-analysis/0Wv5wuenRLI3BcwgT3HPIP,198286,4
179,180,Dembow,Danny Ocean,4030146,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2,2EzRdhuoPyNJDlep7lnNf2,0.802,0.7440000000000001,6,-5.968,1,0.078,0.0807,0.0,0.0917,0.45,99.98299999999999,audio_features,spotify:track:2EzRdhuoPyNJDlep7lnNf2,https://api.spotify.com/v1/tracks/2EzRdhuoPyNJDlep7lnNf2,https://api.spotify.com/v1/audio-analysis/2EzRdhuoPyNJDlep7lnNf2,215083,4
180,181,Passionfruit,Drake,4018907,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd,7hDc8b7IXETo14hHIHdnhd,0.809,0.46299999999999997,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,audio_features,spotify:track:7hDc8b7IXETo14hHIHdnhd,https://api.spotify.com/v1/tracks/7hDc8b7IXETo14hHIHdnhd,https://api.spotify.com/v1/audio-analysis/7hDc8b7IXETo14hHIHdnhd,298941,4
181,182,Breathe,Jax Jones,3970105,https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n,6tvQzeCPwOytDlBYCIOY0n,0.722,0.7440000000000001,11,-5.52,0,0.0363,0.0234,0.000157,0.14300000000000002,0.6859999999999999,125.985,audio_features,spotify:track:6tvQzeCPwOytDlBYCIOY0n,https://api.spotify.com/v1/tracks/6tvQzeCPwOytDlBYCIOY0n,https://api.spotify.com/v1/audio-analysis/6tvQzeCPwOytDlBYCIOY0n,207630,4
182,183,Designer,Lil Pump,3895949,https://open.spotify.com/track/1LXbv9jiTtdBdHadZ317Gt,1LXbv9jiTtdBdHadZ317Gt,0.8640000000000001,0.484,6,-9.158999999999999,0,0.344,0.205,0.0,0.248,0.534,160.05200000000002,audio_features,spotify:track:1LXbv9jiTtdBdHadZ317Gt,https://api.spotify.com/v1/tracks/1LXbv9jiTtdBdHadZ317Gt,https://api.spotify.com/v1/audio-analysis/1LXbv9jiTtdBdHadZ317Gt,144560,4
183,184,The Weekend - Funk Wav Remix,SZA,3888955,https://open.spotify.com/track/0P6AWOA4LG1XOctzaVu5tt,0P6AWOA4LG1XOctzaVu5tt,0.775,0.573,11,-4.933,1,0.0585,0.495,0.0,0.126,0.667,101.925,audio_features,spotify:track:0P6AWOA4LG1XOctzaVu5tt,https://api.spotify.com/v1/tracks/0P6AWOA4LG1XOctzaVu5tt,https://api.spotify.com/v1/audio-analysis/0P6AWOA4LG1XOctzaVu5tt,171806,4
